Sanskrit Shlok,IAST format,meaning
प्रजावता वचसा वह्निरासा च हुवे नि च सत्सीह देवैः । वेषि होत्रमुत पोत्रं यजत्र बोधि प्रयन्तर्जनितर्वसूनाम् ॥४॥ (Rig. Veda.1.76.4),prajāvatā vacasā vahnirāsā ca huve ni ca satsīha devaiḥ । veṣi hotramuta potraṁ yajatra bodhi prayantarjanitarvasūnām ॥4॥ (Rig. Veda.1.76.4),"Rig Veda mantras (1.76.4) describes Agni as one who takes the offerings of humans through his mouth (वह्निरासा), who purifys and blesses one with sons (progeny), wealth and knowledge, that Agni is invited along with other devatas"
यो अध्वरेषु शंतम ऋतावा होता तमू नमोभिरा कृणुध्वम् । अग्निर्यद्वेर्मर्ताय देवान्स चा बोधाति मनसा यजाति ॥२॥  (Rig. Veda.1.77.2),yo adhvareṣu śaṁtama r̥tāvā hotā tamū namobhirā kr̥ṇudhvam । agniryadvermartāya devānsa cā bodhāti manasā yajāti ॥2॥ (Rig. Veda.1.77.2),"Rig Veda mantras (1.77.1 to 5) describes the role of Agni as the होता || Hota, who invites the other devatas, who carries the yajna offerings of the mortals to the deities, knows the desires of men and helps in fulfilling them"
अभि त्वा गोतमा गिरा जातवेदो विचर्षणे | दयुम्नैरभि पर णोनुमः || (Rig. Veda.1.78.1) जातवेदसे सुनवा मसोममरातीयतो नि दहाति वेदः | स नः पर्षदति दुर्गाणि विश्वा नावेव सिन्धुं दुरितात्यग्निः || (Rig. Veda. 1.99.1) अग्निरस्मि जन्मना जातवेदा घर्तं मे चक्षुरमृतं म आसन | अर्कस्त्रिधातू रजसो विमानो.अजस्रो घर्मो हविरस्मि नाम || (Rig. Veda.3.26.7),abhi tvā gotamā girā jātavedo vicarṣaṇe | dayumnairabhi para ṇonumaḥ || (Rig. Veda.1.78.1) jātavedase sunavā masomamarātīyato ni dahāti vedaḥ | sa naḥ parṣadati durgāṇi viśvā nāveva sindhuṁ duritātyagniḥ || (Rig. Veda. 1.99.1) agnirasmi janmanā jātavedā ghartaṁ me cakṣuramr̥taṁ ma āsana | arkastridhātū rajaso vimāno.ajasro gharmo havirasmi nāma || (Rig. Veda.3.26.7),"Agni is described as the अग्निर्जातवेदाः Jatavedaa, meaning one who has the knowledge of vedas and is a learned by birth. He is the witness to every deed (सर्वद्रष्टा) born in the lineage of Gautama[1]. Reference to Agni as Jataveda is made in many other places of Rig veda and other literatures."
होतारं विश्ववेदसं सं हि त्वा विश इन्धते । स आ वह पुरुहूत प्रचेतसो ऽग्ने देवाँ इह द्रवत् ॥ (Rig. Veda.1.44.7),hōtāraṁ viśvavēdasaṁ saṁ hi tvā viśa indhatē । sa ā vaha puruhūta pracētasō 'gnē dēvām̐ iha dravat ॥ (Rig. Veda.1.44.7),"Rig Veda mantra 1.44.7 describes Agni as one who is विश्ववेदस् intellectual, illuminated by many people in their hearts (who perform havan) and praised for bringing along other distinguished jnanapradayaka devatas so that we are bestowed with jnana"
जराबोध तद्विविड्ढि विशेविशे यज्ञियाय | स्तोमं रुद्राय दृशिकम् || (Rig. Veda. 1.27.10),"jarābōdha tadviviḍḍhi viśēviśē yajñiyāya | stōmaṁ rudrāya dr̥śikam || (Rig. Veda. 1.27.10) Meaning : Agni similar to Rudra, is one who makes the enemies weep.","Rig Veda mantra (1.27.10), addresses Agni as similar to Rudra (who destroys the bad qualities)."
त्वमग्नेरुद्रो असुरो महो दिवस्त्वं शर्धो मारुतं पृक्ष ईशिषे | (Rig. Veda. 2.1.6),tvamagnērudrō asurō mahō divastvaṁ śardhō̱ mārutaṁ pr̥kṣa īśiṣē | (Rig. Veda. 2.1.6),Rig Veda mantra (2.1.6) directly addresses Agni as Rudr
स एव पुरुषः प्रजापतिरभवत् | स यः स पुरुषः प्रजापतिरभवत् - अयमेव सः योऽयमग्निश्चीयते || 5 काण्डिका,sa ēva puruṣaḥ prajāpatirabhavat | sa yaḥ sa puruṣaḥ prajāpatirabhavat - ayamēva saḥ yō'yamagniścīyatē || 5 kāṇḍikā,Shatapatabrahmana:  Ukhasambharana (6 Kanda) Prathama Adhyaya Prathama Brahmana (अथाग्निचित्याब्राह्मणम् Agnichitya brahmanam) (6.1.1.5 and 11)[12]
"सः' एषः सप्तभिः पुरुषैर्निपऩ्न एकः पुरुषः 'प्रजापतिः' विराट् अभूत् | एवं लिङ्गशरीराभिमानिहिरण्यगर्भकर्तृका विराडुत्पत्तिरुक्ता, तस्य विराजोऽग्निरूपतामाह - स यः पुरुषः इति | 'स प्रजापतिः' एव 'अयं चीयमानः अग्निः' इत्यर्थः || Saayana Bhashyam of 5 काण्डिका (Page no 63 of Reference ) अथ यो गर्भोऽन्तरासीत् - सोऽग्निरसृज्यत | स यदस्य सर्वस्याग्रमसृज्यत - तस्मादग्निः | अग्निर्हवै तमग्निरित्याचक्षते परोऽक्षम् | परोऽक्षकामा हि देवाः |.... 11 काण्डिका"," 'saḥ' ēṣaḥ saptabhiḥ puruṣairnipana ēkaḥ puruṣaḥ 'prajāpatiḥ' virāṭ abhūt | ēvaṁ liṅgaśarīrābhimānihiraṇyagarbhakartr̥kā virāḍutpattiruktā, tasya virājō'gnirūpatāmāha - sa yaḥ puruṣaḥ iti | 'sa prajāpatiḥ' ēva 'ayaṁ cīyamānaḥ agniḥ' ityarthaḥ || Saayana Bhashyam of 5 kāṇḍikā atha yō garbhō'ntarāsīt - sō'gnirasr̥jyata | sa yadasya sarvasyāgramasr̥jyata - tasmādagniḥ | agnirhavai tamagnirityācakṣatē parō'kṣam | parō'kṣakāmā hi dēvāḥ |.... 11 kāṇḍikā","Meaning : That Prajapati is identified as Agni, formed from seven lustrous persons. That Agni covers all expanse. Prajapati as the Srustikarta creates all the celestial beings and heavenly bodies such as Aakasha, nakshtras. He also creates Agni as the yajnika agni."
"ततः 'यः' जातगर्भः, 'सः' ""अग्निः असृज्यत"" तस्मात् सर्वस्य स्थूलप्रपञ्चस्य ""अग्रम्"" आदौ सृष्टत्वात् अग्निरित्युच्यते | तम् अग्रिम् इदानीन्तना अग्निनाम्ना व्यवहारं कुर्वन्ति | .... Saayana Bhashyam of 11 काण्डिका","tataḥ 'yaḥ' jātagarbhaḥ, 'saḥ' ""agniḥ asr̥jyata"" tasmāt sarvasya sthūlaprapañcasya ""agram"" ādau sr̥ṣṭatvāt agnirityucyatē | tam agrim idānīntanā agnināmnā vyavahāraṁ kurvanti | .... Saayana Bhashyam of 11 kāṇḍikā",Summary : Agni is described here as the form of heat which is the root of all creation. He is created first and forms the base for all gross creation until the present time. Hence Agni is called अग्रिम् || Agrim (first)
मेधायै मनसेऽग्नये स्वाहेति मेधया वै मनसाभिगच्छति यजेयेति तदस्येतदमुभयमात्मन्येव यन्मेधा च मनश्च ते अस्मिन्नेते उभे देवते आत्मन्याधीते || (Kanva Shata. Brah. 4.1.4.11),mēdhāyai manasē'gnayē svāhēti mēdhayā vai manasābhigacchati yajēyēti tadasyētadamubhayamātmanyēva yanmēdhā ca manaśca tē asminnētē ubhē dēvatē ātmanyādhītē || (Kanva Shata. Brah. 4.1.4.11),"Meaning : Yajamani chants "" To wisdom, to mind, to Agni - Svaaha"". He intends with his mind, "" May I perform the yajna"". These two - wisdom and mind are within himself. He meditates upon both these deities (intent) in his own mind."
