Sanskrit Shloka,IAST Meaning,Meaning
ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः । सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥१-१३॥ ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ । माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥१-१४॥ पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः । पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥१-१५॥,tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ । sahasaivābhyahanyanta sa śabdastumulo'bhavat ॥1-13॥ tataḥ śvetairhayairyukte mahati syandane sthitau । mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ ॥1-14॥ pāñcajanyaṁ hr̥ṣīkeśo devadattaṁ dhanañjayaḥ । pauṇḍraṁ dadhmau mahāśaṅkhaṁ bhīmakarmā vr̥kodaraḥ ॥1-15॥,"Then the din of hundreds of conches, blaring forth suddenly, announced the commencement of the battle. Arjuna blew his conch “Devadatta”, while Bhima, his brother, sounded the “Paundra”. And all the other great warriors blew their respective conches."
अस्थानस्नेहकार्पण्यधर्माधर्मधियाऽऽकुलम् । पार्थं प्रपन्नमुद्दिश्य शास्त्रावतरणं कृतम् ॥ ५ ॥,asthānasnehakārpaṇyadharmādharmadhiyā''kulam । pārthaṁ prapannamuddiśya śāstrāvataraṇaṁ kr̥tam ॥ 5 ॥," Arjuna saw the dear relatives like Bhima, Acharyas (आचार्य-s | Masters) like Drona assembled opposite him to engage in battle with him.  Arjuna's love and daya (दया । compassion) for them overflowed although they had no fitness for that display of affection.  As a result, Arjuna concluded that the righteous war with them befitting his status as a Kshatriya was adharma (अधर्मः । unrighteous).  He was overcome with weakness.  He threw down his bow and arrows and sat down with dejection at the foot of his chariot. Next, Arjuna appealed to Lord, his charioteer, to show him the right way.  With smile on His face, Lord Parthasarathy (पार्थसारथी । Sri Krishna) commenced His upadesha (उपदेशः । teaching) for Arjuna on Jivatma svarupa (जीवात्मस्वरुपः । the real nature of the embodied being), of the Paramatma (परमात्मा । Supreme Being), the means to reach Paramatma and related esoteric meanings of Vedanta.  Lord's teaching was like nectar for Arjuna and easy to understand (Gita. Samg. verse 5)"
धृतराष्ट्र उवाच | धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः । मामकाः पाण्डवाश्चैव किमकुर्वत संजय ॥१-१॥,dhr̥tarāṣṭra uvāca | dharmakṣetre kurukṣetre samavetā yuyutsavaḥ । māmakāḥ pāṇḍavāścaiva kimakurvata saṁjaya ॥1-1॥,"Dhrtarashtra said, What did the sons of Pandu (पण्डुः) and also my people do when they had assembled together, eager for battle on the holy plain of Kurukshetra, O Sanjaya? (Bhag. Gita 1.1)"
धर्मक्षयात् त्रायते इति धर्मक्षेत्रम् ।,dharmakṣayāt trāyate iti dharmakṣetram ।,That which saves Dharma from getting destroyed.
सञ्जय उवाच | दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा । आचार्यमुपसंगम्य राजा वचनमब्रवीत् ॥१-२॥ पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥१-३॥,"sañjaya uvāca | dr̥ṣṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā । ācāryamupasaṁgamya rājā vacanamabravīt ॥1-2॥ paśyaitāṁ pāṇḍuputrāṇāmācārya mahatīṁ camūm । vyūḍhāṁ drupadaputreṇa tava śiṣyeṇa dhīmatā ॥1-3॥
","Sanjaya said, having seen the army of the Pandavas drawn up in battle array, Raja Duryodhana then approached his teacher (Drona) and spoke these words: ""Behold, O Teacher, this mighty army of the sons of Pandu, arrayed by the son of Drupada (Dhrshtadyumna), thy wise disciple ! (Bhag. Gita 1.2 and 3)."
अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् । पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥१-१०॥ अयनेषु च सर्वेषु यथाभागमवस्थिताः । भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥१-११||,aparyāptaṁ tadasmākaṁ balaṁ bhīṣmābhirakṣitam । paryāptaṁ tvidameteṣāṁ balaṁ bhīmābhirakṣitam ॥1-10॥ ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ । bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi ॥1-11॥,"This army of ours marshalled by Bhishma is insufficient, whereas their army, marshalled by Bhima, is sufficient. Therefore, do ye all, stationed in your respective positions in the several divisions of the army, protect Bhishma alone (Bhag. Gita 1.10 and 11)."
महीपते । सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥१-२१॥ यावदेतान्निरिक्षेऽहं योद्‌धुकामानवस्थितान् । कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ॥१-२२॥ योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः । धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥१-२३॥,mahīpate । senayorubhayormadhye rathaṁ sthāpaya me'cyuta ॥1-21॥ yāvadetānnirikṣe'haṁ yod‌dhukāmānavasthitān । kairmayā saha yoddhavyamasmin raṇasamudyame ॥1-22॥ yotsyamānānavekṣe'haṁ ya ete'tra samāgatāḥ । dhārtarāṣṭrasya durbuddheryuddhe priyacikīrṣavaḥ ॥1-23॥," O Lord of the Earth ! In the middle of the two armies, place my chariot, O Krishna, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle begins. For I desire to observe those who are assembled here to fight, wishing to please in battle Duryodhana, the evil-minded (Bhag Gita 1.21-23)."
पार्थ पश्यैतान्समवेतान्कुरूनिति ॥१-२५॥,pārtha paśyaitānsamavetānkurūniti ॥1-25॥," O Arjuna, behold now all these Kurus gathered together! (Bhag. Gita 1.25)"
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ॥१-२८॥ सीदन्ति मम गात्राणि मुखं च परिशुष्यति | वेपथुश्च शरीरे मे रोमहर्षश्च जायते ॥१-२९॥ गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ॥१-३०॥ निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ॥१-३१॥ न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च | किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ॥१-३२॥,dr̥ṣṭvemaṁ svajanaṁ kr̥ṣṇa yuyutsuṁ samupasthitam ॥1-28॥ sīdanti mama gātrāṇi mukhaṁ ca pariśuṣyati | vepathuśca śarīre me romaharṣaśca jāyate ॥1-29॥ gāṇḍīvaṁ sraṁsate hastāttvakcaiva paridahyate | na ca śaknomyavasthātuṁ bhramatīva ca me manaḥ ॥1-30॥ nimittāni ca paśyāmi viparītāni keśava | na ca śreyo'nupaśyāmi hatvā svajanamāhave ॥1-31॥ na kāṅkṣe vijayaṁ kr̥ṣṇa na ca rājyaṁ sukhāni ca । kiṁ no rājyena govinda kiṁ bhogairjīvitena vā ॥1-32॥,"Seeing these, my kinsmen, O Krishna, arrayed, eager to fight, my limbs fail and my mouth is parched up, my body quivers and my hairs stand on end! The (bow) “Gandiva” slips from my hand and my skin burns all over; I am unable even to stand, my mind is reeling, as it were. And I see adverse omens, O Keshava! I do not see any good in killing my kinsmen in battle. For I desire neither victory, O Krishna, nor pleasures nor kingdoms! Of what avail is a dominion to us, O Krishna, or pleasures or even life? (Bhag. Gita 1.28-32)"
अहो बत महत्पापं कर्तुं व्यवसिता वयम् । यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ॥१-४५॥ यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः । धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ॥१-४६॥,aho bata mahatpāpaṁ kartuṁ vyavasitā vayam । yadrājyasukhalobhena hantuṁ svajanamudyatāḥ ॥1-45॥ yadi māmapratīkāramaśastraṁ śastrapāṇayaḥ । dhārtarāṣṭrā raṇe hanyustanme kṣemataraṁ bhavet ॥1-46॥,": Alas! We are involved in a great papa in that we are prepared to kill our kinsmen through greed for the pleasures of a kingdom. If the sons of Dhrtarashtra, with weapons in hand, should slay me in battle, unresisting and unarmed, that would be better for me (Bhag. Gita 1.45 and 46)."
